favorited	contributors	truncated	text	created_at	retweeted	in_reply_to_status_id_str	coordinates	in_reply_to_user_id_str	source	in_reply_to_status_id	in_reply_to_screen_name	id_str	place	retweet_count	geo	id	possibly_sensitive	in_reply_to_user_id
False	None	False	http://t.co/EG9mil41 shows cultural differences &amp; similarities by indexing top images for given searches across local engines	Wed Nov 21 20:41:01 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	271352540208168960	None	5	None	271352540208168960	False	None
False	None	False	@ymere #fail onze lift is voor de achtste!!! keer stuk in 3 maanden tijd. Laat het deze keer niet weer een week duren!	Fri Nov 02 05:31:13 +0000 2012	False	None	None	223777746	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	Ymere	264238210006282241	None	0	None	264238210006282241	223777746
False	None	False	#issuemapping #biasdetection #digitalsociology	Sat Oct 27 09:52:09 +0000 2012	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	262129551361060865	None	0	None	262129551361060865	None
None	False	RT @RiederB: new netvizz feature: #facebook page networks and statistics #netvizz #dataviz #ddj #gephi http://t.co/elAaEayh	None	261838043055550466	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	261838043055550466	3	None	False	None	None	False	Fri Oct 26 14:33:48 +0000 2012	None	None
None	False	RT @mariekevdijk: Get the point: 10 tactics for turning information into action, by #tacticaltech http://t.co/UvR3ctsN and http://t.co/x ...	None	261837872179580928	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	261837872179580928	1	None	False	None	None	False	Fri Oct 26 14:33:08 +0000 2012	None	None
False	None	False	@cgrltz me needz sweater too!!! #internet #ftw	Mon Oct 22 06:44:21 +0000 2012	False	260131516854697984	None	47438273	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	260131516854697984	cgrltz	260270350582022144	None	0	None	260270350582022144	47438273
False	None	False	Big data is our generation’s civil rights issue, and we don’t know it http://t.co/fOS0mr2t	Tue Oct 09 20:24:02 +0000 2012	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	255765588524294144	None	1	None	255765588524294144	False	None
None	False	RT @Zuurstof: "We think it is a human, but you just never know these days." http://t.co/k2u3ywbK	None	254199347581964288	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	254199347581964288	1	None	False	None	None	False	Fri Oct 05 12:40:21 +0000 2012	None	None
False	None	False	#ssd #ftw	Fri Oct 05 10:08:12 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	254161055406776320	None	0	None	254161055406776320	None
None	False	RT @glovink: Critique of the viral metaphor: the Haren Facebook riot was heavily promoted by radio, tv and print media, and only started ...	Mon Sep 24 10:52:20 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	False	None	250185897574821888	None	3	None	250185897574821888	None
False	None	False	The politics of autocomplete http://t.co/bIisxklp	Mon Sep 24 10:21:35 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	250178158035337216	None	1	None	250178158035337216	False	None
None	False	RT @google: Google News turns 10 today, take a look back at its evolution http://t.co/ZhrTDeER	None	249800499010875392	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	249800499010875392	231	None	False	None	None	False	Sun Sep 23 09:20:54 +0000 2012	None	None
None	False	RT @techsoc: Data availability is never neutral. RT @ATI_TN: Big Data: A big problem for human rights ? http://t.co/ewH5eoek	None	249459920011943936	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	False	None	None	249459920011943936	4	None	False	None	None	False	Sat Sep 22 10:47:34 +0000 2012	None	None
None	False	RT @LatourBot: It has no central argument.	Sat Sep 22 09:48:16 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	False	None	249444999165513728	None	1	None	249444999165513728	None
None	False	RT @mikeloukides: Way cool idea: Chrome extension to check sources for online news articles. http://t.co/cEcxqM4L	None	249444309420613632	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	249444309420613632	75	None	False	None	None	False	Sat Sep 22 09:45:32 +0000 2012	None	None
None	False	RT @tTikitu: Via @gvidou, fantastic time-lapse of work on the Nord/Zuidlijn. Wait for 1:10 or so. https://t.co/5JiDiw6y	None	249156625695387649	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	249156625695387649	2	None	False	None	None	False	Fri Sep 21 14:42:23 +0000 2012	None	None
False	None	False	The contiguous US, visualized by distance to nearest McDo http://t.co/9n0TbMQd (2nd map)	Fri Sep 21 13:08:58 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	249133119062544385	None	0	None	249133119062544385	False	None
None	False	RT @drcreek: Wow. This iOS 6 Maps hate is going mainstream. http://t.co/FxFAA2bL	None	249088276290469888	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	249088276290469888	45	None	False	None	None	False	Fri Sep 21 10:10:47 +0000 2012	None	None
None	False	RT @achillean: The HTTP Header Survey has just been updated :) http://t.co/CFJB9Mn3 (cc @grecs)	None	249046761635737600	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	249046761635737600	28	None	False	None	None	False	Fri Sep 21 07:25:49 +0000 2012	None	None
None	False	RT @INCAmsterdam: The politics of autocomplete, new re-search blog: http://t.co/fMxXcpuh	None	249042240184393728	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	249042240184393728	2	None	False	None	None	False	Fri Sep 21 07:07:51 +0000 2012	None	None
None	False	RT @rosa_menkman: Glitch in popular culture, a youtube playlist: http://t.co/s70JfrJn	None	249041656563789824	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	249041656563789824	2	None	False	None	None	False	Fri Sep 21 07:05:32 +0000 2012	None	None
None	False	RT @mdieter: RT @rosa_menkman: A history of the term 'glitch art' and my introduction to Jodi on the Rack. http://t.co/2HLRomji	None	249039509315006464	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	249039509315006464	2	None	False	None	None	False	Fri Sep 21 06:57:00 +0000 2012	None	None
False	None	False	'reverse link economy' https://t.co/g9kGCQeM @silvertje @cgrltz	Fri Sep 21 06:40:57 +0000 2012	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	249035471244648448	None	0	None	249035471244648448	False	None
None	False	RT @FBorgesius: "Custom audiences let marketers find their offline audiences among Facebook users" Matched by email, phone, or FB ID. ht ...	Fri Sep 21 06:37:15 +0000 2012	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	False	None	249034539144450048	None	1	None	249034539144450048	None
None	False	RT @morozov_links: [ARTICLE] "Search Engines and Ethics," by Herman Tavani, Stanford Encyclopedia of Philosophy http://t.co/Jf5gMkI4 #ethics	None	249034332470136833	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	249034332470136833	2	None	False	None	None	False	Fri Sep 21 06:36:26 +0000 2012	None	None
None	False	RT @chapeaudefee: Facebook wants to know if your friends' names are real. Are you going to be the snitch? http://t.co/CdqGoxvQ	None	248749663048564736	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	248749663048564736	875	None	False	None	None	False	Thu Sep 20 11:45:15 +0000 2012	None	None
None	False	RT @gpalt: Big news for IR researchers! Wikipedia releases anonymous search logs http://t.co/y4LBizMZ	None	248726638072852480	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	248726638072852480	16	None	False	None	None	False	Thu Sep 20 10:13:46 +0000 2012	None	None
False	None	False	@silvertje @cgrltz @maxj_k reminds me of http://t.co/utBzLYvC ;)	Thu Sep 20 10:12:59 +0000 2012	False	248726265668960256	None	8273852	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	248726265668960256	silvertje	248726441922015232	None	0	None	248726441922015232	False	8273852
False	None	False	@cgrltz @silvertje duct tape #ftw	Thu Sep 20 10:08:31 +0000 2012	False	248723172810182657	None	47438273	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	248723172810182657	cgrltz	248725318100201474	None	0	None	248725318100201474	47438273
False	None	False	Enjoying the quite murmur of a class full of BA students #uva #newmedia	Thu Sep 20 10:07:49 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	248725142233042944	None	0	None	248725142233042944	None
None	False	RT @sara_nl: ‘BiG Grid and beyond’ – nationale e-Infrastructuur voor de wetenschap – 26 sept Beurs van Berlage Amsterdam http://t.co/VpG ...	Thu Sep 20 08:00:33 +0000 2012	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	False	None	248693112854155264	None	6	None	248693112854155264	None
False	None	False	@I_Am_Voice congrats!	Wed Sep 19 19:32:04 +0000 2012	False	248504643301294081	None	40651465	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	248504643301294081	I_Am_Voice	248504750918758400	None	0	None	248504750918758400	40651465
False	None	False	Impressive overview of the New Media Scene in Amsterdam https://t.co/juMtJuon	Wed Sep 19 19:28:02 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	248503735268020225	None	6	None	248503735268020225	False	None
None	False	RT @Shoord: Virtuele net.art expo. :-) #jodi #rozendaal #dullaart #meer. http://t.co/Z2WETX6q (via @TempStedelijk)	None	248370994186694657	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	248370994186694657	1	None	False	None	None	False	Wed Sep 19 10:40:34 +0000 2012	None	None
None	False	RT @SourceAdam: The #Tor bundle browser is such a huge improvement over the old button. Really fantastic work. https://t.co/mzD6qbFn @to ...	None	248363430040444928	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	248363430040444928	2	None	False	None	None	False	Wed Sep 19 10:10:30 +0000 2012	None	None
None	False	RT @roostweets: Ik kom morgen op de radio! Bij Folia Live mag ik tussen 3 en 4 mijn visie ten gehore brengen en wat praten over mijn the ...	Wed Sep 19 09:46:49 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	False	None	248357469590548480	None	1	None	248357469590548480	None
False	None	False	@Zuurstof @_mstevenson and I have a solution to the "I have read and agree to the Terms" lie: http://t.co/CHrOyQrw	Wed Sep 19 08:16:19 +0000 2012	False	248333083684794368	None	16254100	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	248333083684794368	Zuurstof	248334694964400128	None	2	None	248334694964400128	False	16254100
False	None	False	summer search activity on Google maps, giving sense of how people around the world spend their summers http://t.co/PqjO8vzu	Wed Sep 19 08:14:21 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	248334197142454272	None	1	None	248334197142454272	False	None
None	False	RT @flowingdata: Voting similarities between Netherland cities http://t.co/ELr9b9XY	None	248148225142448130	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	248148225142448130	8	None	False	None	None	False	Tue Sep 18 19:55:21 +0000 2012	None	None
False	None	False	Search data shows diff. narratives right &amp; left http://t.co/jG4LUP7Z Uses our political search trends tool http://t.co/nWA5IUqj	Tue Sep 18 17:15:04 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	248107885303853057	None	0	None	248107885303853057	False	None
False	None	False	@mdieter thanks!	Tue Sep 18 16:35:53 +0000 2012	False	248097855468875776	None	22437518	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	248097855468875776	mdieter	248098026982371328	None	0	None	248098026982371328	22437518
None	False	RT @DataPointed: "A staggering 26.83% of all passwords could be guessed by attempting these 20 combinations!" http://t.co/UjdZwbUS	None	248086907328790529	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	248086907328790529	6	None	False	None	None	False	Tue Sep 18 15:51:42 +0000 2012	None	None
None	False	RT @timoreilly: RT @PICNICfestival: Tim O'Reilly's slideshow: RT @lucaconti: Missed @timoreilly presentation at #picnic12? Slideshare ht ...	Tue Sep 18 15:32:53 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	False	None	248082172915875840	None	22	None	248082172915875840	None
False	None	False	@silvertje @vjon_nl @markjansen10 "Political Insights: Exploring partisanship in Web search queries" http://t.co/8YSN5xbb	Tue Sep 18 12:34:12 +0000 2012	False	248036660565127169	None	8273852	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	248036660565127169	silvertje	248037204763488257	None	0	None	248037204763488257	False	8273852
False	None	False	@sabinesabine #like	Tue Sep 18 09:36:51 +0000 2012	False	247988410340487168	None	26377024	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	247988410340487168	sabinesabine	247992572272865280	None	0	None	247992572272865280	26377024
False	None	False	@Zuurstof did he give a reason?	Tue Sep 18 08:33:45 +0000 2012	False	247975268495548416	None	16254100	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	247975268495548416	Zuurstof	247976693363511296	None	0	None	247976693363511296	16254100
False	None	False	@ymere #fail 5e dag op rij dat de lift 'tijdelijk buiten gebruik' is. Er wonen hier nogal wat families met babies. #lekkerhandig	Tue Sep 18 07:25:54 +0000 2012	False	None	None	223777746	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	Ymere	247959617521471488	None	0	None	247959617521471488	223777746
None	False	RT @moebio: I published a new project! it's an interactive 7 sets Venn diagram http://t.co/Riq4SHOD	None	247958411940085760	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	247958411940085760	38	None	False	None	None	False	Tue Sep 18 07:21:06 +0000 2012	None	None
False	None	False	@tTikitu brain of a scrabble player http://t.co/Wi1nIZyh visualizing edit distance relationships between short english words	Tue Sep 18 07:19:24 +0000 2012	False	None	None	132595174	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	tTikitu	247957983156391936	None	1	None	247957983156391936	False	132595174
None	False	RT @FBorgesius: "Do Not Track actually threatens the very existence of the “Free Internet.”" http://t.co/UjegJ2hG	None	247956271456739328	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	247956271456739328	1	None	False	None	None	False	Tue Sep 18 07:12:36 +0000 2012	None	None
None	False	RT @pewinternet: In case you missed it - a demographic portrait of users of various social networking sites: http://t.co/qFeRpv6u	None	247954550072434688	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	247954550072434688	56	None	False	None	None	False	Tue Sep 18 07:05:46 +0000 2012	None	None
False	None	False	@guidafonseca nope, not working on this particular http://t.co/lZ0ynaOy	Tue Sep 18 06:02:59 +0000 2012	False	247703372055068675	None	15807117	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	247703372055068675	guidafonseca	247938749999226880	None	0	None	247938749999226880	False	15807117
False	None	False	Map of the Web (incomplete but huge and awesome nonetheless) http://t.co/A3qwYNXR	Mon Sep 17 11:23:04 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	247656915646177280	None	0	None	247656915646177280	False	None
False	None	False	Kan het Internet kapot? http://t.co/wEVUij9D	Mon Sep 17 09:37:07 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	247630253911076864	None	0	None	247630253911076864	False	None
None	False	RT @mdieter: From BBC, Who is the most illegally shared artist near you? - http://t.co/lm4BEPG2	None	247620549172412416	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	247620549172412416	1	None	False	None	None	False	Mon Sep 17 08:58:34 +0000 2012	None	None
False	None	False	Interesting article on the future of Google (maps) and how the world is made searchable http://t.co/8Q9Kovfb	Mon Sep 17 05:56:14 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	247574665676091392	None	1	None	247574665676091392	False	None
False	None	False	NL New media events calendar with a focus on Amsterdam http://t.co/JkdtLQgl	Mon Sep 17 05:38:29 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	247570196661944320	None	2	None	247570196661944320	False	None
