favorited	contributors	truncated	text	created_at	retweeted	in_reply_to_status_id_str	coordinates	in_reply_to_user_id_str	source	in_reply_to_status_id	screen_name	in_reply_to_screen_name	id_str	place	retweet_count	geo	id	in_reply_to_user_id
False	None	False	@arno_stevens @Cineville En wat vond je ervan?	Sun Jan 15 16:22:42 +0000 2012	False	158188502096416768	None	21385538	web	158188502096416768	eelkeh	arno_stevens	158584907457769473	None	0	None	158584907457769473	21385538
None	False	Controversy as Spotify requires new users to be on Facebook first http://t.co/qC36EJxz via @techcrunch	None	118375258620301312	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	118375258620301312	0	None	False	None	None	eelkeh	Mon Sep 26 17:23:55 +0000 2011	None	None
False	None	False	@plevy Thanks for the correction, will take that into account...	Tue Sep 13 08:52:47 +0000 2011	False	113403801842618369	None	17177403	web	113403801842618369	eelkeh	plevy	113535585976721408	None	0	None	113535585976721408	17177403
False	None	False	@plevy Could you elaborate on what you don't agree on?	Mon Sep 12 21:31:19 +0000 2011	False	113345365532606465	None	17177403	web	113345365532606465	eelkeh	plevy	113364089291538432	None	0	None	113364089291538432	17177403
False	None	False	@xlshosting Enig idee wanneer jullie VPS5013 leven in kunnen blazen, na ruim 8 uur downtime? Kan ook niet meer in de interface inloggen...	Tue May 03 15:09:00 +0000 2011	False	None	None	112453332	web	None	eelkeh	xlshosting	65432677855150080	None	0	None	65432677855150080	112453332
False	None	False	@xlshosting Wat is er met VPS5013 aan de hand? Is die ook down wegens de trage harde schijf toegang?	Tue May 03 12:04:49 +0000 2011	False	None	None	112453332	web	None	eelkeh	xlshosting	65386323833405440	None	0	None	65386323833405440	112453332
False	None	False	Drop die beat! #ts2as	Mon Oct 18 20:47:27 +0000 2010	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	eelkeh	None	27767990457	None	0	None	27767990457	None
None	False	RT @DeSpeld: "U kijkt zo lief" - Balkenende brengt versiertips van Jack de Vries op subtiele wijze in praktijk #carredebat	None	14786336281	web	False	None	None	14786336281	103	None	False	None	None	eelkeh	Wed May 26 20:26:38 +0000 2010	None	None
False	None	False	Emile Roemer mag Cohen wel een lesje ontspannen debaten gaan geven, wat een ongelooflijk contrast #carredebat	Wed May 26 19:23:24 +0000 2010	False	None	None	None	web	None	eelkeh	None	14783207379	None	0	None	14783207379	None
False	None	False	Nog een debat in top trending wereldwijd, Nederland twitterland #carredebat	Wed May 26 19:08:27 +0000 2010	False	None	None	None	web	None	eelkeh	None	14782468579	None	0	None	14782468579	None
False	None	False	Tell-All Generation Learns to Keep Things Offline - http://nyti.ms/by4SIp	Sun May 09 20:51:55 +0000 2010	False	None	None	None	<a href="http://timespeople.nytimes.com" rel="nofollow">TimesPeople</a>	None	eelkeh	None	13687229678	None	0	None	13687229678	None
False	None	False	@thomashosman Staat me bij dat Mattie ooit contact heeft gehad met speechschrijver van Cohen.	Sun Mar 07 12:27:49 +0000 2010	False	10117978350	None	77329833	<a href="https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic" rel="nofollow">Silver Bird</a>	10117978350	eelkeh	thomashosman	10118126273	None	0	None	10118126273	77329833
None	False	RT @thomashosman: Oscarnacht helemaal uitverkocht, maar café is open met schermen waarop uitz. en uitreiking te zien zijn! http://bit.ly ...	None	10040132351	web	False	None	None	10040132351	1	None	False	None	None	eelkeh	Fri Mar 05 20:15:56 +0000 2010	None	None
False	None	False	Oh nee... Van Geel pulls a Nixon #penw	Tue Mar 02 23:01:40 +0000 2010	False	None	None	None	web	None	eelkeh	None	9895739115	None	0	None	9895739115	None
False	None	False	Bos krijgt zwetende snor, ben bang voor Nixon incident... #penw	Tue Mar 02 22:53:28 +0000 2010	False	None	None	None	web	None	eelkeh	None	9895405437	None	0	None	9895405437	None
False	None	False	Wilderbashers start your engines. Gaat iemand nog vertellen waarom hij er niet bij is? Niet uitgenodigd? #penw	Tue Mar 02 22:28:08 +0000 2010	False	None	None	None	web	None	eelkeh	None	9894401346	None	0	None	9894401346	None
None	False	RT @jeroenvanberkel: Kant krijst er even twee zetels af voor de SP zo vlak voor het slapen gaan van Wakker Nederland #penw #festlokdem	None	9894067442	web	False	None	None	9894067442	2	None	False	None	None	eelkeh	Tue Mar 02 22:19:35 +0000 2010	None	None
None	False	RT @ebertchicago: 3-D is a waste of a perfectly good dimension.	None	9640973955	web	False	None	None	9640973955	189	None	False	None	None	eelkeh	Thu Feb 25 20:04:05 +0000 2010	None	None
