user	favorited	entities	contributors	truncated	text	created_at	retweeted	in_reply_to_status_id_str	coordinates	in_reply_to_user_id_str	source	in_reply_to_status_id	in_reply_to_screen_name	id_str	place	retweet_count	geo	id	in_reply_to_user_id
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [{u'id': 21385538, u'indices': [0, 13], u'id_str': u'21385538', u'screen_name': u'arno_stevens', u'name': u'Arno Stevens'}, {u'id': 87201342, u'indices': [14, 24], u'id_str': u'87201342', u'screen_name': u'Cineville', u'name': u'Cineville'}], u'hashtags': [], u'urls': []}	None	False	@arno_stevens @Cineville En wat vond je ervan?	Sun Jan 15 16:22:42 +0000 2012	False	158188502096416768	None	21385538	web	158188502096416768	arno_stevens	158584907457769473	None	0	None	158584907457769473	21385538
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [{u'id': 816653, u'indices': [91, 102], u'id_str': u'816653', u'screen_name': u'TechCrunch', u'name': u'TechCrunch'}], u'hashtags': [], u'urls': [{u'url': u'http://t.co/qC36EJxz', u'indices': [66, 86], u'expanded_url': u'http://bit.ly/oJNhHB', u'display_url': u'bit.ly/oJNhHB'}]}	None	False	Controversy as Spotify requires new users to be on Facebook first http://t.co/qC36EJxz via @techcrunch	Mon Sep 26 17:23:55 +0000 2011	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	118375258620301312	None	0	None	118375258620301312	False	None
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [{u'id': 17177403, u'indices': [0, 6], u'id_str': u'17177403', u'screen_name': u'plevy', u'name': u'Pierre Levy'}], u'hashtags': [], u'urls': []}	None	False	@plevy Thanks for the correction, will take that into account...	Tue Sep 13 08:52:47 +0000 2011	False	113403801842618369	None	17177403	web	113403801842618369	plevy	113535585976721408	None	0	None	113535585976721408	17177403
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [{u'id': 17177403, u'indices': [0, 6], u'id_str': u'17177403', u'screen_name': u'plevy', u'name': u'Pierre Levy'}], u'hashtags': [], u'urls': []}	None	False	@plevy Could you elaborate on what you don't agree on?	Mon Sep 12 21:31:19 +0000 2011	False	113345365532606465	None	17177403	web	113345365532606465	plevy	113364089291538432	None	0	None	113364089291538432	17177403
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [{u'id': 112453332, u'indices': [0, 11], u'id_str': u'112453332', u'screen_name': u'xlshosting', u'name': u'XLS Hosting'}], u'hashtags': [], u'urls': []}	None	False	@xlshosting Enig idee wanneer jullie VPS5013 leven in kunnen blazen, na ruim 8 uur downtime? Kan ook niet meer in de interface inloggen...	Tue May 03 15:09:00 +0000 2011	False	None	None	112453332	web	None	xlshosting	65432677855150080	None	0	None	65432677855150080	112453332
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [{u'id': 112453332, u'indices': [0, 11], u'id_str': u'112453332', u'screen_name': u'xlshosting', u'name': u'XLS Hosting'}], u'hashtags': [], u'urls': []}	None	False	@xlshosting Wat is er met VPS5013 aan de hand? Is die ook down wegens de trage harde schijf toegang?	Tue May 03 12:04:49 +0000 2011	False	None	None	112453332	web	None	xlshosting	65386323833405440	None	0	None	65386323833405440	112453332
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [], u'hashtags': [{u'indices': [15, 21], u'text': u'ts2as'}], u'urls': []}	None	False	Drop die beat! #ts2as	Mon Oct 18 20:47:27 +0000 2010	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	27767990457	None	0	None	27767990457	None
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	{u'user_mentions': [{u'id': 20136749, u'indices': [3, 11], u'id_str': u'20136749', u'screen_name': u'DeSpeld', u'name': u'De Speld'}], u'hashtags': [{u'indices': [111, 122], u'text': u'carredebat'}], u'urls': []}	{u'user': {u'follow_request_sent': False, u'profile_use_background_image': False, u'default_profile_image': False, u'id': 20136749, u'verified': False, u'profile_text_color': u'663B12', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/713910503/logo_alleenspeld_drukwerk_normal.jpg', u'profile_sidebar_fill_color': u'DAECF4', u'entities': {u'url': {u'urls': [{u'url': u'http://www.speld.nl', u'indices': [0, 19], u'expanded_url': None}]}, u'description': {u'urls': []}}, u'followers_count': 27929, u'profile_sidebar_border_color': u'FFFFFF', u'id_str': u'20136749', u'profile_background_color': u'C6E2EE', u'listed_count': 443, u'profile_background_image_url_https': u'https://si0.twimg.com/profile_background_images/710528771/12e173437a3f20e8dc660b3be6756a39.jpeg', u'utc_offset': 3600, u'statuses_count': 3217, u'description': u'Uw vaste prik voor betrouwbaar nieuws', u'friends_count': 1571, u'location': u'Amsterdam, The Netherlands', u'profile_link_color': u'1F98C7', u'profile_image_url': u'http://a0.twimg.com/profile_images/713910503/logo_alleenspeld_drukwerk_normal.jpg', u'following': None, u'geo_enabled': False, u'profile_banner_url': u'https://si0.twimg.com/profile_banners/20136749/1353511057', u'profile_background_image_url': u'http://a0.twimg.com/profile_background_images/710528771/12e173437a3f20e8dc660b3be6756a39.jpeg', u'screen_name': u'DeSpeld', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'De Speld', u'notifications': None, u'url': u'http://www.speld.nl', u'created_at': u'Thu Feb 05 10:45:15 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': False, u'is_translator': False}, u'favorited': False, u'entities': {u'user_mentions': [], u'hashtags': [{u'indices': [98, 109], u'text': u'carredebat'}], u'urls': []}, u'contributors': None, u'truncated': False, u'text': u'"U kijkt zo lief" - Balkenende brengt versiertips van Jack de Vries op subtiele wijze in praktijk #carredebat', u'created_at': u'Wed May 26 20:24:20 +0000 2010', u'retweeted': False, u'in_reply_to_status_id_str': None, u'coordinates': None, u'in_reply_to_user_id_str': None, u'source': u'web', u'in_reply_to_status_id': None, u'in_reply_to_screen_name': None, u'id_str': u'14786223326', u'place': None, u'retweet_count': 103, u'geo': None, u'id': 14786223326, u'in_reply_to_user_id': None}	None	False	RT @DeSpeld: "U kijkt zo lief" - Balkenende brengt versiertips van Jack de Vries op subtiele wijze in praktijk #carredebat	Wed May 26 20:26:38 +0000 2010	False	None	None	None	web	None	False	None	14786336281	None	103	None	14786336281	None
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [], u'hashtags': [{u'indices': [98, 109], u'text': u'carredebat'}], u'urls': []}	None	False	Emile Roemer mag Cohen wel een lesje ontspannen debaten gaan geven, wat een ongelooflijk contrast #carredebat	Wed May 26 19:23:24 +0000 2010	False	None	None	None	web	None	None	14783207379	None	0	None	14783207379	None
{u'follow_request_sent': False, u'profile_use_background_image': True, u'default_profile_image': False, u'id': 19818128, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://si0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'entities': {u'description': {u'urls': []}}, u'followers_count': 62, u'profile_sidebar_border_color': u'C0DEED', u'id_str': u'19818128', u'profile_background_color': u'C0DEED', u'listed_count': 1, u'profile_background_image_url_https': u'https://si0.twimg.com/images/themes/theme1/bg.png', u'utc_offset': 3600, u'statuses_count': 38, u'description': u'Something awfully pretentious', u'friends_count': 314, u'location': u'', u'profile_link_color': u'0084B4', u'profile_image_url': u'http://a0.twimg.com/profile_images/1776075011/Photo_on_1-23-12_at_20.00___2_normal.jpg', u'following': False, u'geo_enabled': False, u'profile_background_image_url': u'http://a0.twimg.com/images/themes/theme1/bg.png', u'screen_name': u'eelkeh', u'lang': u'en', u'profile_background_tile': False, u'favourites_count': 2, u'name': u'Eelke Hermens', u'notifications': False, u'url': None, u'created_at': u'Sat Jan 31 15:18:29 +0000 2009', u'contributors_enabled': False, u'time_zone': u'Amsterdam', u'protected': False, u'default_profile': True, u'is_translator': False}	False	{u'user_mentions': [], u'hashtags': [{u'indices': [64, 75], u'text': u'carredebat'}], u'urls': []}	None	False	Nog een debat in top trending wereldwijd, Nederland twitterland #carredebat	Wed May 26 19:08:27 +0000 2010	False	None	None	None	web	None	None	14782468579	None	0	None	14782468579	None
