contributors	truncated	text	in_reply_to_status_id	id	source	retweeted	coordinates	in_reply_to_screen_name	id_str	retweet_count	in_reply_to_user_id	favorited	geo	in_reply_to_user_id_str	possibly_sensitive	screen_name	created_at	in_reply_to_status_id_str	place
None	False	#EDL threats of rape towards chief Exposé admin @exposingdarcyhttp://t.co/EYm4fFbY	None	291568167648628736	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	291568167648628736	3	None	False	None	None	True	edlnewsxtra	Wed Jan 16 15:30:42 +0000 2013	None	None
None	False	#EDL's Joanne Dickens sick helicopter comments: http://t.co/gOeOgCwc #vauxhall	None	291520228444213248	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	291520228444213248	1	None	False	None	None	True	edlnewsxtra	Wed Jan 16 12:20:13 +0000 2013	None	None
None	False	Bradford group is locked up for violence after #EDL Cleckheaton march (From Asian Image) http://t.co/2llm2BGx	None	291518510570549248	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	291518510570549248	2	None	False	None	None	True	edlnewsxtra	Wed Jan 16 12:13:23 +0000 2013	None	None
None	False	Bye, then Don... #EDLhttp://t.co/12spvm3X	None	291277875846475776	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	291277875846475776	1	None	False	None	None	True	edlnewsxtra	Tue Jan 15 20:17:11 +0000 2013	None	None
None	False	When Facebook nazis decide to have a breakdown... #EDLhttp://t.co/hZL1WcD5	None	291256051850940417	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	291256051850940417	3	None	False	None	None	True	edlnewsxtra	Tue Jan 15 18:50:28 +0000 2013	None	None
None	False	According to the pretend political party which Kev Carroll leads, this is what he was arrested for. #EDLhttp://t.co/N3rXho3T	None	291255852462137344	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	False	None	None	291255852462137344	1	None	False	None	None	True	edlnewsxtra	Tue Jan 15 18:49:41 +0000 2013	None	None
False	None	False	@HUMPTYSCRUMPTY Care to point out any that haven't been in the news already? #EDL	Tue Jan 15 16:34:13 +0000 2013	False	291173684830429186	None	75080436	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	291173684830429186	edlnewsxtra	HUMPTYSCRUMPTY	291221761893208064	None	0	None	291221761893208064	75080436
None	False	Gang Jailed Following Disorder in Kirklees: http://t.co/oZrt1qH5 #EDL	None	291167467546480641	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	291167467546480641	4	None	False	None	None	True	edlnewsxtra	Tue Jan 15 12:58:28 +0000 2013	None	None
None	False	BBC News - Small Heath mosque attack: Boy, 16, sentenced to four years http://t.co/GWHNoPPX #EDL	None	291091097806057473	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	291091097806057473	5	None	False	None	None	True	edlnewsxtra	Tue Jan 15 07:55:00 +0000 2013	None	None
None	False	XEDL Tony Curtis confirms he, Jeff Marsh etc are orchestrating far-right unifying meetings without  #EDL involved. http://t.co/Dn94oYzF	None	290915867527626752	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	False	None	None	290915867527626752	2	None	False	None	None	True	edlnewsxtra	Mon Jan 14 20:18:42 +0000 2013	None	None
None	False	Joint leader of #EDL Kevin Carroll arrested on suspicion of race hate crime - The Independent http://t.co/FQLbkSTP via @independent	None	290854811103006720	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	False	None	None	290854811103006720	11	None	False	None	None	True	edlnewsxtra	Mon Jan 14 16:16:05 +0000 2013	None	None
None	False	FREE face to face, medical and finance consultations offered by Englands Golden Dawn http://t.co/12WSWTaJ #EDL	None	290797676927270913	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	290797676927270913	2	None	False	None	None	True	edlnewsxtra	Mon Jan 14 12:29:03 +0000 2013	None	None
False	None	False	“@bobpitt4: @EDLNewsXtra @ukpakman   I don't need promoting  cos I don't give a fuck.” &lt; Nor do you have anything to say... #EDL	Mon Jan 14 12:27:58 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	edlnewsxtra	None	290797401843855360	None	0	None	290797401843855360	None
None	False	A brainwave idea how not to be arrested for racial and religious hatred http://t.co/l1dnA3rW #EDL via @VickyClementine	None	290797010787917824	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	290797010787917824	3	None	False	None	None	True	edlnewsxtra	Mon Jan 14 12:26:24 +0000 2013	None	None
False	None	False	@bobpitt4 @ukpakman Nonsense. I've never once promoted you. #EDL	Sun Jan 13 17:18:09 +0000 2013	False	290136634899460096	None	624050955	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290136634899460096	edlnewsxtra	bobpitt4	290508043651796992	None	0	None	290508043651796992	624050955
False	None	False	@Mad_as_Hell_UK I can see no supporting evidence to suggest that.	Sun Jan 13 17:17:14 +0000 2013	False	290142802371805184	None	332778627	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290142802371805184	edlnewsxtra	Mad_as_Hell_UK	290507811010535424	None	0	None	290507811010535424	332778627
False	None	False	@jimmyuk007 @lewisno1fan You're an enormous bore. I don't care what the Express writes, and neither do they. They just want to sell papers.	Sun Jan 13 17:16:01 +0000 2013	False	290461995759706113	None	40048469	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290461995759706113	edlnewsxtra	jimmyuk007	290507506860576768	None	0	None	290507506860576768	40048469
False	None	False	@Guru_Marc @poobiocks Protest outside Wandsworth then... #EDL	Sun Jan 13 11:37:12 +0000 2013	False	290413278016978946	None	305655577	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290413278016978946	edlnewsxtra	Guru_Marc	290422238463815680	None	1	None	290422238463815680	305655577
None	False	RT @antifascist45: Ugly face of UKIP: Sunday Mirror exposes racist and homophobic views of party members http://t.co/pfHQ7Wta  via @Dail ...	None	290402196258963456	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	290402196258963456	11	None	False	None	None	True	edlnewsxtra	Sun Jan 13 10:17:33 +0000 2013	None	None
None	False	RT @SamMaloneUK: @ErinAngelConnor Pls stop using the armed forces to push hate. They don't like it - http://t.co/05NYXTnl #EDL	None	290225440658976768	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	290225440658976768	5	None	False	None	None	True	edlnewsxtra	Sat Jan 12 22:35:11 +0000 2013	None	None
